False Friend,Correct Translation,Wrong Translation
also,so,also
arm,poor,arm
bad,bath,bad
bald,soon,bald
bank,bench,bank
beamer,data projector / computer projector,beamer
billion,trillion,billion
boot,boat,boot
brand,fire,brand
brief,a letter,brief
chance,opportunity,chance
chef,boss,chef
dank,gratefulness / thanks,dank
die,a,die
evergreen,oldie,evergreen
fast,almost,fast
fund,discovery,fund
gaffer,gaper,gaffer
genie,genius,genie
gift,poison,gift
gut,good,gut
hall,a short echo,hall
handy,smartphone,handy
happen,snack,happen
heft,exercise book / magazine,heft
hell,light,hell
herd,cooker / stove,herd
hose,trousers / pants,hose
hut,a hat,hut
jammer,whine,jammer
kind,a child,kind
last,freight / burden,last
lied,a song,lied
links,left [opposite to right],links
lunge,lung,lunge
mist,rubbish,mist
mitten,in the middle,mitten
mode,fashion,mode
most,apple cider [southern germany / austria],most
not,an emergency,not
note,music note,note
payback,discount program,payback
personal,personnel / staff /workforce,personal
pest,plague,pest
pole,polish,pole
probe,rehearsal / sample,probe
promotion,doctorate / phd,promotion
provision,commission,provision
quote,rate / proportion,quote
rat,council,rat
rate,installment,rate
rind,an individual of cattle,rind
rock,a skirt,rock
roman,novel,roman
sage,saga,sage
schmuck,jewelry,schmuck
sense,scythe,sense
slip,knickers / panties / briefs,slip
smoking,tuxedo / dinner jacket,smoking
sold,a soldierâ€™s salary,sold
spanner,peeping tom,spanner
spinner,idiot / nutcase,spinner
spot,commercial / advert,spot
stadium,stage,stadium
stark,strong,stark
still,quiet,still
stock,floor,stock
tier,animal,tier
toll,fantastic,toll
trunk,a drink (together with some people),trunk
vital,full of life,vital
wall,embankment / rampart,wall
wand,wall,wand
